Confidence NN B-NP 1
in IN B-PP 1
the DT B-NP 1
pound NN I-NP 1
is VBZ B-VP 1
widely RB I-VP 1
expected VBN I-VP 1
to TO I-VP 1
take VB I-VP 1
another DT B-NP 1
sharp JJ I-NP 1
dive NN I-NP 1
if IN B-SBAR 1
trade NN B-NP 1
figures NNS I-NP 1
for IN B-PP 1
September NNP B-NP 1
, , O 1
due JJ B-ADJP 1
for IN B-PP 1
release NN B-NP 1
tomorrow NN B-NP 1
, , O 1
fail VB B-VP 1
to TO I-VP 1
show VB I-VP 1
a DT B-NP 1
substantial JJ I-NP 1
improvement NN I-NP 1
from IN B-PP 1
July NNP B-NP 1
and CC I-NP 1
August NNP I-NP 1
's POS B-NP 1
near-record JJ I-NP 1
deficits NNS I-NP 1
. . O 1
Chancellor NNP O 2
of IN B-PP 2
the DT B-NP 2
Exchequer NNP I-NP 2
Nigel NNP B-NP 2
Lawson NNP I-NP 2
's POS B-NP 2
restated VBN I-NP 2
commitment NN I-NP 2
to TO B-PP 2
a DT B-NP 2
firm NN I-NP 2
monetary JJ I-NP 2
policy NN I-NP 2
has VBZ B-VP 2
helped VBN I-VP 2
to TO I-VP 2
prevent VB I-VP 2
a DT B-NP 2
freefall NN I-NP 2
in IN B-PP 2
sterling NN B-NP 2
over IN B-PP 2
the DT B-NP 2
past JJ I-NP 2
week NN I-NP 2
. . O 2
But CC O 3
analysts NNS B-NP 3
reckon VBP B-VP 3
underlying VBG B-NP 3
support NN I-NP 3
for IN B-PP 3
sterling NN B-NP 3
has VBZ B-VP 3
been VBN I-VP 3
eroded VBN I-VP 3
by IN B-PP 3
the DT B-NP 3
chancellor NN I-NP 3
's POS B-NP 3
failure NN I-NP 3
to TO B-VP 3
announce VB I-VP 3
any DT B-NP 3
new JJ I-NP 3
policy NN I-NP 3
measures NNS I-NP 3
in IN B-PP 3
his PRP$ B-NP 3
Mansion NNP I-NP 3
House NNP I-NP 3
speech NN I-NP 3
last JJ B-NP 3
Thursday NNP I-NP 3
. . O 3
This DT B-NP 4
has VBZ B-VP 4
increased VBN I-VP 4
the DT B-NP 4
risk NN I-NP 4
of IN B-PP 4
the DT B-NP 4
government NN I-NP 4
being VBG B-VP 4
forced VBN I-VP 4
to TO I-VP 4
increase VB I-VP 4
base NN B-NP 4
rates NNS I-NP 4
to TO B-PP 4
16 CD B-NP 4
% NN I-NP 4
from IN B-PP 4
their PRP$ B-NP 4
current JJ I-NP 4
15 CD I-NP 4
% NN I-NP 4
level NN I-NP 4
to TO B-VP 4
defend VB I-VP 4
the DT B-NP 4
pound NN I-NP 4
, , O 4
economists NNS B-NP 4
and CC O 4
foreign JJ B-NP 4
exchange NN I-NP 4
market NN I-NP 4
analysts NNS I-NP 4
say VBP B-VP 4
. . O 4
`` `` O 5
The DT B-NP 5
risks NNS I-NP 5
for IN B-PP 5
sterling NN B-NP 5
of IN B-PP 5
a DT B-NP 5
bad JJ I-NP 5
trade NN I-NP 5
figure NN I-NP 5
are VBP B-VP 5
very RB B-ADVP 5
heavily RB I-ADVP 5
on IN B-PP 5
the DT B-NP 5
down JJ I-NP 5
side NN I-NP 5
, , O 5
'' '' O 5
said VBD B-VP 5
Chris NNP B-NP 5
Dillow NNP I-NP 5
, , O 5
senior JJ B-NP 5
U.K. NNP I-NP 5
economist NN I-NP 5
at IN B-PP 5
Nomura NNP B-NP 5
Research NNP I-NP 5
Institute NNP I-NP 5
. . O 5
`` `` O 6
If IN B-SBAR 6
there EX B-NP 6
is VBZ B-VP 6
another DT B-NP 6
bad JJ I-NP 6
trade NN I-NP 6
number NN I-NP 6
, , O 6
there EX B-NP 6
could MD B-VP 6
be VB I-VP 6
an DT B-NP 6
awful JJ I-NP 6
lot NN I-NP 6
of IN B-PP 6
pressure NN B-NP 6
, , O 6
'' '' O 6
noted VBD B-VP 6
Simon NNP B-NP 6
Briscoe NNP I-NP 6
, , O 6
U.K. NNP B-NP 6
economist NN I-NP 6
for IN B-PP 6
Midland NNP B-NP 6
Montagu NNP I-NP 6
, , O 6
a DT B-NP 6
unit NN I-NP 6
of IN B-PP 6
Midland NNP B-NP 6
Bank NNP I-NP 6
PLC NNP I-NP 6
. . O 6
Forecasts NNS B-NP 7
for IN B-PP 7
the DT B-NP 7
trade NN I-NP 7
figures NNS I-NP 7
range VBP B-VP 7
widely RB B-ADVP 7
, , O 7
but CC O 7
few JJ B-NP 7
economists NNS I-NP 7
expect VBP B-VP 7
the DT B-NP 7
data NNS I-NP 7
to TO B-VP 7
show VB I-VP 7
a DT B-NP 7
very RB I-NP 7
marked VBN I-NP 7
improvement NN I-NP 7
from IN B-PP 7
the DT O 7
# # O 7
2 CD O 7
billion CD O 7
-LRB- ( O 7
$ $ B-ADJP 7
3.2 CD O 7
billion CD O 7
-RRB- ) O 7
deficit NN B-NP 7
in IN B-PP 7
the DT B-NP 7
current JJ I-NP 7
account NN I-NP 7
reported VBD B-VP 7
for IN B-PP 7
August NNP B-NP 7
. . O 7
The DT B-NP 8
August NNP I-NP 8
deficit NN I-NP 8
and CC O 8
the DT B-NP 8
# # I-NP 8
2.2 CD I-NP 8
billion CD I-NP 8
gap NN I-NP 8
registered VBN B-VP 8
in IN B-PP 8
