Confidence NN B-NP 1
in IN B-PP 1
the DT B-NP 1
pound NN I-NP 1
is VBZ B-VP 1
widely RB I-VP 1
expected VBN I-VP 1
to TO I-VP 1
take VB I-VP 1
another DT B-NP 1
sharp JJ I-NP 1
dive NN I-NP 1
if IN B-SBAR 1
trade NN B-NP 1
figures NNS I-NP 1
for IN B-PP 1
September NNP B-NP 1
, , O 1
due JJ B-ADJP 1
for IN B-PP 1
release NN B-NP 1
tomorrow NN B-NP 1
, , O 1
fail VB B-VP 1
to TO I-VP 1
show VB I-VP 1
a DT B-NP 1
substantial JJ I-NP 1
improvement NN I-NP 1
from IN B-PP 1
July NNP B-NP 1
and CC I-NP 1
August NNP I-NP 1
's POS B-NP 1
near-record JJ I-NP 1
deficits NNS I-NP 1
. . O 1
Chancellor NNP O 2
of IN B-PP 2
the DT B-NP 2
Exchequer NNP I-NP 2
Nigel NNP B-NP 2
Lawson NNP I-NP 2
's POS B-NP 2
restated VBN I-NP 2
commitment NN I-NP 2
to TO B-PP 2
a DT B-NP 2
firm NN I-NP 2
monetary JJ I-NP 2
policy NN I-NP 2
has VBZ B-VP 2
helped VBN I-VP 2
to TO I-VP 2
prevent VB I-VP 2
a DT B-NP 2
freefall NN I-NP 2
in IN B-PP 2
sterling NN B-NP 2
over IN B-PP 2
the DT B-NP 2
past JJ I-NP 2
week NN I-NP 2
. . O 2
